,level_0,index,Date,Open,High,Low,Close,Volume
0,0,0,2021-11-16 20:00:00,59893.35,60188.69,60188.68,59992.99,0.70404082
1,1,1,2021-11-16 20:05:00,59979.6,60159.92,59997.95,60030.96,1.26390873
2,2,2,2021-11-16 20:10:00,59837.59,60007.35,59987.24,59905.54,7.13861386
3,3,3,2021-11-16 20:15:00,59600.89,59902.56,59902.56,59770.55,3.80744586
4,4,4,2021-11-16 20:20:00,59708.14,59876.64,59771.78,59711.45,0.89915264
5,5,5,2021-11-16 20:25:00,59596.82,59916.78,59736.05,59686.13,5.10313146
6,6,6,2021-11-16 20:30:00,59578.74,59724.35,59647.82,59627.32,3.40938338
7,7,7,2021-11-16 20:35:00,59357.9,59673.72,59646.34,59388.68,1.4801257
8,8,8,2021-11-16 20:40:00,59220.83,59405.06,59401.19,59364.45,1.94348597
9,9,9,2021-11-16 20:45:00,59095.72,59592.39,59337.91,59579.7,8.60487667
10,10,10,2021-11-16 20:50:00,59345.02,59640.58,59576.58,59371.79,2.16247555
11,11,11,2021-11-16 20:55:00,59332.68,59775.61,59332.68,59733.78,2.02623808
12,12,12,2021-11-16 21:00:00,59628.25,60191.79,59715.85,60162.36,2.30057899
13,13,13,2021-11-16 21:05:00,60124.77,60594.15,60124.77,60553.54,2.05983596
14,14,14,2021-11-16 21:10:00,60435.69,60652.84,60541.83,60553.91,1.55444144
15,15,15,2021-11-16 21:15:00,60605.71,60908.08,60619.51,60656.57,1.06834285
16,16,16,2021-11-16 21:20:00,60579.48,60780.59,60634.89,60644.0,1.95070469
17,17,17,2021-11-16 21:25:00,60381.64,60633.07,60628.66,60421.4,1.66626833
18,18,18,2021-11-16 21:30:00,60329.91,60660.03,60375.86,60450.17,1.188454
19,19,19,2021-11-16 21:35:00,60454.69,60535.83,60475.29,60531.13,0.43032148
20,20,20,2021-11-16 21:40:00,60490.35,60681.73,60536.34,60508.24,0.63356375
21,21,21,2021-11-16 21:45:00,60281.51,60474.07,60474.07,60371.57,0.84984473
22,22,22,2021-11-16 21:50:00,60310.21,60415.91,60335.31,60325.44,0.34869691
23,23,23,2021-11-16 21:55:00,60315.87,60525.42,60315.87,60443.5,14.68708614
24,24,24,2021-11-16 22:00:00,60440.99,60575.7,60443.43,60575.7,0.40043221
25,25,25,2021-11-16 22:05:00,60378.39,60581.19,60558.96,60430.9,0.61431949
26,26,26,2021-11-16 22:10:00,60431.87,60620.92,60431.89,60620.92,0.46539348
27,27,27,2021-11-16 22:15:00,60477.34,60607.91,60607.91,60505.32,0.16559586
28,28,28,2021-11-16 22:20:00,60505.32,60642.14,60505.32,60618.38,2.33608732
29,29,29,2021-11-16 22:25:00,60522.77,60823.87,60580.14,60819.84,1.01153151
30,30,30,2021-11-16 22:30:00,60822.22,61116.72,60822.22,60957.49,5.74948527
31,31,31,2021-11-16 22:35:00,60643.09,60942.01,60942.01,60664.96,1.68102868
32,32,32,2021-11-16 22:40:00,60647.44,60742.34,60662.83,60712.49,5.62192931
33,33,33,2021-11-16 22:45:00,60602.64,60712.2,60697.48,60661.66,6.26103413
34,34,34,2021-11-16 22:50:00,60642.55,60686.01,60669.74,60666.18,0.3069855
35,35,35,2021-11-16 22:55:00,60581.12,60681.94,60671.81,60588.61,0.20800305
36,36,36,2021-11-16 23:00:00,60528.13,60668.84,60601.49,60565.85,0.53833231
37,37,37,2021-11-16 23:05:00,60500.0,60639.49,60552.47,60591.34,1.76708404
38,38,38,2021-11-16 23:10:00,60425.53,60614.0,60605.17,60439.83,3.03904045
39,39,39,2021-11-16 23:15:00,60378.44,60476.4,60445.03,60414.0,0.2787099
40,40,40,2021-11-16 23:20:00,60338.2,60467.17,60407.01,60439.2,0.43072838
41,41,41,2021-11-16 23:25:00,60356.41,60473.04,60470.49,60373.69,0.1807469
42,42,42,2021-11-16 23:30:00,60265.91,60455.37,60389.0,60332.21,2.82748303
43,43,43,2021-11-16 23:35:00,60217.45,60391.75,60340.86,60229.68,0.39039946
44,44,44,2021-11-16 23:40:00,60194.35,60334.87,60210.84,60315.36,0.67946042
45,45,45,2021-11-16 23:45:00,60153.18,60351.74,60312.37,60198.96,1.22730399
46,46,46,2021-11-16 23:50:00,60064.17,60237.98,60143.61,60199.56,0.39401746
47,47,47,2021-11-16 23:55:00,60040.19,60252.78,60230.6,60056.95,2.40288484
48,48,48,2021-11-17 00:00:00,59807.85,60192.2,60068.25,59822.59,1.02074165
49,49,49,2021-11-17 00:05:00,59779.06,60270.53,59800.0,60264.05,2.29163755
50,50,50,2021-11-17 00:10:00,60137.07,60405.27,60264.05,60137.07,1.21964535
51,51,51,2021-11-17 00:15:00,59852.95,60280.54,60110.31,59852.95,7.89027476
52,52,52,2021-11-17 00:20:00,59560.89,59884.2,59822.85,59733.4,3.98338078
53,53,53,2021-11-17 00:25:00,59704.4,59858.74,59752.05,59731.76,0.36750602
54,54,54,2021-11-17 00:30:00,59690.75,59962.05,59745.32,59864.08,0.47529887
55,55,55,2021-11-17 00:35:00,59744.1,60022.89,59883.25,59800.12,0.99034808
56,56,56,2021-11-17 00:40:00,59571.68,59942.48,59839.27,59664.52,2.03865644
57,57,57,2021-11-17 00:45:00,59482.15,59750.85,59651.43,59482.15,0.6679951
58,58,58,2021-11-17 00:50:00,59475.42,59684.58,59477.21,59626.21,0.49714071
59,59,59,2021-11-17 00:55:00,59648.07,59818.47,59648.07,59715.94,0.58905579
60,60,60,2021-11-17 01:00:00,59580.1,59888.85,59715.94,59607.86,0.72378964
61,61,61,2021-11-17 01:05:00,59549.47,59685.08,59637.12,59596.32,1.16790372
62,62,62,2021-11-17 01:10:00,59551.19,59794.75,59576.77,59773.45,3.05635672
63,63,63,2021-11-17 01:15:00,59711.05,59833.79,59773.45,59756.04,0.50354031
64,64,64,2021-11-17 01:20:00,59741.69,59866.93,59744.21,59860.43,0.42408041
65,65,65,2021-11-17 01:25:00,59862.42,60182.39,59862.42,60128.61,2.02441723
66,66,66,2021-11-17 01:30:00,59997.38,60251.69,60101.74,60189.43,0.44356818
67,67,67,2021-11-17 01:35:00,60045.54,60206.67,60171.33,60055.92,0.21528311
68,68,68,2021-11-17 01:40:00,59996.6,60092.01,60070.9,60070.62,0.39127532
69,69,69,2021-11-17 01:45:00,59711.05,60119.4,60096.05,59711.05,0.57302707
70,70,70,2021-11-17 01:50:00,59540.45,59753.12,59708.77,59602.21,0.61769244
71,71,71,2021-11-17 01:55:00,59243.42,59636.33,59607.18,59312.32,1.48376408
72,72,72,2021-11-17 02:00:00,59068.36,59424.09,59294.85,59152.25,2.32925635
73,73,73,2021-11-17 02:05:00,59214.13,59463.88,59214.13,59445.3,0.6233639
74,74,74,2021-11-17 02:10:00,59354.63,59533.42,59428.31,59394.24,0.48428565
75,75,75,2021-11-17 02:15:00,59264.64,59522.68,59420.06,59522.68,1.29302907
76,76,76,2021-11-17 02:20:00,59510.96,59614.93,59558.62,59551.89,0.7197354
77,77,77,2021-11-17 02:25:00,59521.76,59662.13,59543.33,59561.79,0.62589452
78,78,78,2021-11-17 02:30:00,59418.86,59720.42,59555.67,59464.79,0.52206039
79,79,79,2021-11-17 02:35:00,59418.36,59629.85,59502.33,59550.95,0.44318613
80,80,80,2021-11-17 02:40:00,59301.79,59583.99,59554.5,59348.34,0.2927169
81,81,81,2021-11-17 02:45:00,59328.04,59447.51,59391.04,59402.92,0.51874669
82,82,82,2021-11-17 02:50:00,59234.61,59491.46,59431.99,59234.61,0.34108663
83,83,83,2021-11-17 02:55:00,59232.88,59446.38,59236.92,59370.8,0.70045145
84,84,84,2021-11-17 03:00:00,59314.08,59531.52,59373.75,59314.08,1.59497043
85,85,85,2021-11-17 03:05:00,58997.69,59352.55,59349.39,59024.9,4.42958818
86,86,86,2021-11-17 03:10:00,58761.49,59090.75,59023.01,58779.3,4.39466288
87,87,87,2021-11-17 03:15:00,58543.94,58937.83,58833.09,58924.75,5.40688967
88,88,88,2021-11-17 03:20:00,58832.65,58980.65,58888.45,58887.06,4.65920664
89,89,89,2021-11-17 03:25:00,58900.45,59500.3,58900.45,59487.85,1.6636316
90,90,90,2021-11-17 03:30:00,59411.73,59742.64,59474.69,59503.75,4.38737823
91,91,91,2021-11-17 03:35:00,59201.39,59561.78,59453.99,59340.69,3.53195247
92,92,92,2021-11-17 03:40:00,59185.05,59443.13,59353.95,59337.9,0.71983852
93,93,93,2021-11-17 03:45:00,59178.17,59401.0,59304.45,59359.7,1.4716548
94,94,94,2021-11-17 03:50:00,59224.81,59494.22,59368.21,59230.84,0.34867087
95,95,95,2021-11-17 03:55:00,59000.0,59261.88,59229.77,59014.72,0.70025502
96,96,96,2021-11-17 04:00:00,58960.87,59178.5,59057.35,59092.17,1.82815418
97,97,97,2021-11-17 04:05:00,58913.91,59186.81,59064.74,58928.5,1.42843718
98,98,98,2021-11-17 04:10:00,58719.91,58944.48,58897.04,58719.91,1.06403693
99,99,99,2021-11-17 04:15:00,58604.4,58883.97,58745.26,58801.26,0.96956575
100,100,100,2021-11-17 04:20:00,58740.41,59199.76,58740.41,59042.69,1.64553647
101,101,101,2021-11-17 04:25:00,59046.49,59305.84,59048.82,59299.63,2.07908081
102,102,102,2021-11-17 04:30:00,59156.27,59421.93,59296.08,59376.45,0.54027723
103,103,103,2021-11-17 04:35:00,59118.91,59315.98,59315.98,59254.71,1.79000736
104,104,104,2021-11-17 04:40:00,59254.53,59462.27,59281.58,59269.15,2.40112511
105,105,105,2021-11-17 04:45:00,58957.06,59241.62,59241.62,58995.42,0.94226508
106,106,106,2021-11-17 04:50:00,58930.11,59124.19,59027.32,59108.25,0.20643885
107,107,107,2021-11-17 04:55:00,59100.5,59464.07,59120.09,59403.39,0.82881521
108,108,108,2021-11-17 05:00:00,59236.75,59559.52,59399.03,59474.63,0.6115541
109,109,109,2021-11-17 05:05:00,59361.36,59547.23,59461.8,59487.06,0.76186735
110,110,110,2021-11-17 05:10:00,59423.03,59499.44,59465.17,59485.75,1.08522698
111,111,111,2021-11-17 05:15:00,59436.26,59579.59,59465.94,59513.45,0.36677024
112,112,112,2021-11-17 05:20:00,59521.71,59671.13,59521.71,59671.13,0.78626426
113,113,113,2021-11-17 05:25:00,59372.77,59659.23,59658.5,59443.42,0.51443706
114,114,114,2021-11-17 05:30:00,59405.88,59606.97,59405.88,59547.26,0.23695161
115,115,115,2021-11-17 05:35:00,59569.73,59724.28,59579.78,59632.0,3.22768506
116,116,116,2021-11-17 05:40:00,59611.94,59727.02,59627.93,59620.16,0.86614661
117,117,117,2021-11-17 05:45:00,59500.0,59811.69,59584.99,59511.2,1.02323546
118,118,118,2021-11-17 05:50:00,59470.65,59537.24,59505.77,59537.24,0.34495429
119,119,119,2021-11-17 05:55:00,59478.49,59663.24,59503.85,59552.24,0.07747218
120,120,120,2021-11-17 06:00:00,59534.7,59696.23,59540.65,59660.0,0.19372496
121,121,121,2021-11-17 06:05:00,59545.78,59707.77,59667.06,59545.78,0.15772678
122,122,122,2021-11-17 06:10:00,59363.63,59538.93,59538.93,59463.24,0.79529436
123,123,123,2021-11-17 06:15:00,59323.27,59513.03,59452.94,59359.6,0.33856257
124,124,124,2021-11-17 06:20:00,59298.92,59542.82,59345.43,59542.82,1.76010508
125,125,125,2021-11-17 06:25:00,59396.82,59586.36,59553.66,59545.04,0.53409124
126,126,126,2021-11-17 06:30:00,59560.85,59776.71,59612.99,59772.19,1.79329444
127,127,127,2021-11-17 06:35:00,59611.01,59770.85,59764.18,59730.53,0.42250769
128,128,128,2021-11-17 06:40:00,59546.1,59689.65,59689.65,59565.03,0.29913206
129,129,129,2021-11-17 06:45:00,59487.01,59566.22,59546.51,59558.83,0.17318539
130,130,130,2021-11-17 06:50:00,59331.84,59519.52,59505.09,59519.52,0.6686769
131,131,131,2021-11-17 06:55:00,59544.6,59684.79,59544.6,59607.26,0.20445627
132,132,132,2021-11-17 07:00:00,59598.87,59726.52,59682.43,59601.97,0.85689113
133,133,133,2021-11-17 07:05:00,59443.61,59663.11,59663.11,59479.68,0.23632378
134,134,134,2021-11-17 07:10:00,59429.02,59560.7,59468.7,59470.63,0.25578775
135,135,135,2021-11-17 07:15:00,59408.46,59527.14,59466.24,59443.04,0.1071769
136,136,136,2021-11-17 07:20:00,59350.58,59484.17,59434.62,59445.25,1.12923059
137,137,137,2021-11-17 07:25:00,59426.04,59469.09,59439.87,59458.06,0.30624882
138,138,138,2021-11-17 07:30:00,59441.94,59569.91,59460.26,59535.14,0.27066437
139,139,139,2021-11-17 07:35:00,59531.68,59686.5,59531.68,59653.6,0.56096755
140,140,140,2021-11-17 07:40:00,59708.06,60084.25,59708.06,60021.78,4.24362937
141,141,141,2021-11-17 07:45:00,59916.69,60121.2,60001.56,60086.5,1.94248122
142,142,142,2021-11-17 07:50:00,59934.48,60101.29,60093.93,59934.49,0.2597395
143,143,143,2021-11-17 07:55:00,59678.24,59914.32,59914.32,59695.58,0.46093394
